,review_id,text
12,_Fv2XpeQdNWnSasvOvVohw,"Always one of our favorite stops when in NOLA. The wait is worth it, and yes there is always a line. But this is the place for a great diner experience. The burgers are great, the fried mac and cheese bites fantastic and the Camila Special was huge and good. But the cooks and servers are part of the main attraction. Love this place."
13,Y5SlkD5reibzJDb8kbCpJA,The Camellia Grill was fantastic! Went there when I was craving breakfast food kind of late at night. My server was super friendly and struck up a conversation with us and was really helpful and patient. I got the 2 eggs with hash browns and it was delicious. Will go back.
14,HTGF-bz7vhhA6sQp3NG-kA,"Great place and a true original little gem. I love the service when in Nola I always make an effort to stop by here. The specials of the day are always a good bet, can't go wrong with a waffles and a chop or plainly red beans and rice with a side of meat."
15,eIDLQtaLnyRqVgEQNsUB5A,My group took the Streetcar down and had lunch here. What a great place. It's a diner. We had to wait about 20 min with locals who said it was worth it. We all had burgers which were great and quick. Go to the bathroom while you are there. sits an experience and I'll leave it at that. Burger and sweet tea were around $10. We all enjoyed our food and the food around us looked excellent. if you're anal about cleanliness you might have an issue. The food is prepared in front of you and the staff is lively and funny.
16,wST7t24pSfbetzRvm6mx7A,Breakfast was well worth it. And yes the servers were hilariois. If I had to give a negative it would be the hostess. She had headphones on and texted while we stood there. She nodded where we were to sit. Management should replace her immediately. I really enjoyed the experience overall. Worth the ride over.
17,2BCg5wJWo5GZ3XeCL0bEtA,Great old diner!! Great atmosphere and friendly service. Typical dinner food which comes up pretty quickly.
18,Ik3uMbfMqeqpD-xNy25RbA,"I love the double U-shape seating arrangement when you first walk in because it's like the classic diner style with the matching servers that can sing and cook for you with a smile on their face. The food was just incredible from the fresh squeezed orange juice to the delicious made to order omelets, waffles and pancakes. Since we'd been eating nothing but fried foods since our visit I opted for the healthy omelet with fresh fruit as a side instead of hash brown which I was told was just incredible."
19,Bfy3GZYgvRaDmwkamb0J5Q,"Don't judge this book by its cover! And definitely get the Southern food menu items (versus getting their burger options you can get anywhere). All-day breakfast (LOVE), delicious shake flavors, and open late. Service could not have been better & we even met some friendly locals. Was amazed to find out the place had been there since 1946. There's a reason they're still around. If you're Uptown, try this place!"
20,Tmg23-TKzaI8RrGz4pVmAA,"The staff is attentive and a little abrupt, but that's just part of the experience at Camellia's Grill.  It's fun to listen to the unusual lingo that the cooks shout to communicate the customers orders to each other.  The burgers are to die for!  It was hot and had just the right amount of seasoning and fresh toppings.  These are the best burgers in the area and very reasonably priced.  We will definitely be back the next time we are in New Orleans!"
21,hpc9hWgqWl-Mx5Pwb6On1A,"I never understood what ""light and fluffy"" eggs were until I ate here. Apparently they put pancake batter and use a whipper to whip the eggs to get them so light and fluffy. BEST BREAKFAST I've ever had anywhere, hands down. Their omelettes are above and beyond any other i've had. A MUST try.

This place is a diner in a an old southern structure. Had the chefs special. A bargain at $8. Huge and filled with turkey bacon, onions 2 cheeses, bacon, ham, french fries (u read that right) and topped with chili (u read that right again). Served with toast and ur choice of french fries, hash browns, or grits. Had the hash browns, which looked like ur everyday fresh hash browns, but they must either deep fry it or put crack in it cuz its some of the most flavorful ordinary looking hash browns i've had. Went back and had their pecan waffle, which wasn't bad, but wasn't great. Their fries were definitely above average. Mexican omellete was really good too. Their western omellete is the best i've ever had. No exaggeration.

Service is super friendly and fast. Food is delicious. Prices are very fair. 

Only one drawback: my new years resolution of losing weight went completely down the drain."
22,peC35r9sMcjX0dvCpgQv-g,"Great diner experience. The french fry omelette was.... interesting. This place isn't the best greasy spoon you will visit, but it's definitely one of the coolest ones. There's a historic feel to it, and the service is unbelievable. Just be smart and avoid peak times, even though the line moves somewhat quickly enough. Expect to rub elbows with people, as you're all seated at the counter. 

Burgers are good, chili is decent, waffles are good, omelettes are okay. I can't speak for much else here, but all in all you should give it a go at least once. 

If you're a tourist staying in the French Quarter, this place is accessible by streetcar, just take the St. Charles line all the way down, it's a gorgeous ride. When you hit a 90-degree corner, after passing Audubon Park and Loyola, you've hit Carrolton, and you'll need to get off there. You'll see Cameliia Grill from the corner, and don't be put off by the line, it moves fairly quick."
23,tMESSwaI19TSjN-9N5NBkg,"Just went there for the first time in 40 years. The food was great and the freezes wonderful. The chocolate freeze was made with good ice cream and real Hershey's syrup. The burgers, grilled cheese, ham , french fries and chicken tenders are very good. It is a good family place to visit. It is counter service only which I had forgotten. Hope to get back again."
24,GqoV3TutjHp5gwyIOl7JBQ,"I live a few blocks away from this place... if I wake up early enough and can get there before 9, it's a quick stop for breakfast. The food comes out very quickly, even if it's busy. The food is definitely not the healthiest. So healthy freaks, stay away. Their chocolate freezes are very good. I take one on my way to work sometimes. They put hasbrowns on they menu somewhat recently, so I was happy about that. They're famous for their grits, I think. 

I like the ambience... it's very old school New Orleans and I like that. The servers play the role pretty well - calling out orders and carrying that NOLA swag, if you know what I mean. Marvin and Ray are so kind and make you laugh. They like to converse with their guests and I like that. For out-of-towners, this is a cool place, mainly for the experience. 

If you're not from here, you should at least try it. Just get there early."
25,Qxq2aXH9GkMz7-Zg5RGFvQ,"Great prices, great food, great service. Went back twice for breakfast! Had awesome conversation with other visitors at the counter, also had great talks with the staff. Overall excellent time."
26,gk-fmydqtLbdLTs1lP-4LQ,"Well...this is my 50th review on Yelp. And I wouldn't have wanted it to be with any other place. 
The Camellia Grill was the first place I ate in New Orleans when I came here 6 years ago. I still distinctly remember Marvin ""Word"", who was THE MAN. He sadly passed away a few months ago, RIP. 

There's a simple reason there is a line out the door every Saturday and Sunday morning. The food is incredible. You definitely have to come here hungry and get the Chef's Special Omelette. It's the best omelette I've had anywhere in the country. I also recommend the pecan waffle and the burgers. 

I like the Uptown location the most but there is a location in French Quarter as well where the food is just as good. If you don't want to wait in a really long line, I recommend coming here on a week day."
27,rRu0SYqrdMtNRcEr58mo8A,"3.75 stars.  There are two locations for the Camellia Grill, but this is the one you want to visit.  Here, you are not only getting wonderful food, but you get to do so within a stately house where the people who have been working the restaurant clearly understand the concept of customer service. Sure, the wait in line can be monumental, but when the payoff comes in an exceptionally sweet pecan pie served with a dollop of ice cream and a colossal double cheeseburger topped with an artery clogging fried egg, you've done well.  While it is only slight hyperbole to note that I was barely able to walk after ingesting all these calories, you certainly won't hear me complaining about eating here.  This is worth a stop if you are in New Orleans for a few days."
28,01wCYhk_jE8A0rn4qpMUFg,"Had a few recommendations for Camellia Grill, but it was extremely disappointing. Went for Sunday lunch, place was extremely crowded and was asked to move around multiple times to accommodate other guests. And then the food ordered was extremely subpar. One buck burger came dry and buns were cold, did not have cheese or grilled onion on it (we ordered them!!) Asked waiter to fix it, he brought back two slices of cheese........ I want them melted on my burger, or why don't i just go to walmart and buy a bulk and bring it myself to put on their dry and tastless burger?

That's not it! The service was miserable. We had to ask for water 3 times before they refilled it when we were ready to leave!

Way below expectation, won't go back there again. I'd recommend against ever going there Sunday afternoon when it's crowded."
29,62iVPi8xtjVFnikl1cIGHw,"This little diner is a must stop if you are on the Saint Charles Streetcar line.  It is nothing fancy, but you get good service and great food.  I had the vegetable omelet- it was huge!"
30,E5UGKeeiEtavgPCmL-2nug,"My daughter just graduated from Tulane so we are going to have to figure out excuses to get back to New Orleans and to Camellia.  We were there twice in 5 days because our cousin flew in from Florida and wanted to go there before our son flew in and he wanted, no, NEEDED, to get a Chili Omelette!  Best omelettes in the world, mixed up in a blender, so fluffy.  I always get grits because I can get hashbrowns in NY.  Friendly service, just a one of a kind place (haven't eaten  in the one in the quarter, why mess and this one is near Tulane.)  Bought a T-Shirt this time.  The stem of the flower is a fork.  Don't miss this when you visit New Orleans."
31,H-E3xTCrLs_CWSBAIQzogg,Love it.  Second trip to New Orleans and sad cuz the French quarter location is closed but the original is nice a trolley ride.  Great burger.
32,mA0LgVmjsmnAB4BjZN7cbw,I always have a good meal here. But the atmosphere is what takes this place to another level. Your server will be one of the friendliest servers you will have in any restaurant.
33,AJFnrxYzRLC2WPTDUq9tqw,Authentic diner experience.  Walking into the restaurant takes you back a few decades.  I ordered the red beans and rice and the pecan pie.  Both were good.  Not the best I had in New Orleans.  But the area is very nice and the ambiance is great.
34,DvXb2pjnoqjk33G13lit3A,"You go to Camellia Grill for the experience, the fist-bumping camaraderie and manic enthusiasm of the waiters and cooks, the authentically old-fashioned feel of the retro diner. The expansive menu, if the copyright date of 1985 is any indication, has long remained unchanged. No surprise, since they offer standard no-frills diner fare, ranging from fair in quality to pretty good. Remarkable food? No. Food that makes you go ""Holy crap, now this is what I call food""? Definitely not, but if you're in the mood for dependable greasy-spoon stuff, this is your go-to place. Whether you're a resident or visitor, you must go at least once."
35,BR9HR8VFjeO5YhOiCW3haw,Best cure for a hangover! Classic-greasy-Cheeseburger and omelette are just the best in town.
36,g9MZgYN7npremIiZwp_RtA,"Finally made it to Camellias grill! We ordered the bacon cheeseburger and chocolate freeze. You absolutely have to order the chocolate freeze if nothing else. It is so good, you don't want it to end. Will definitely be back"
37,33kfuGDwKIKldh3xal7_DA,"Coming here felt like coming home - except better because my mom doesn't cook this well.  Getting here was fun - an easy ride on the St. Charles streetcar - so you get a scenic tour and breakfast.  We didn't wait too long, but I can see how it would totally busy.  The food was fantastic and, oh my, buttery!  Our server was friendly and funny.  Honestly, this place set the mood for the rest of our day and it was delightful!  My husband still talks about this place even a year later."
38,CAZ61PTLoaEAVJCUjSh-DQ,"We dropped off our son the in the Loyola University area this week and stumbled upon this gem.  Excellent for breakfast, we got omelettes with hash browns.  They deep fry the sausage and that was quite a treat.  Love the service and we discovered the guys on the walls of the place have been cooking there for over 20 years!

Our waiter made us a sample size of their chocolate cherry shake...my daughter loved it!  This will be our go to place on our next visit.  Can't wait to try the grits too."
39,qopUkiBtOT8neBh_WyRmgQ,"This was my favourite place to eat during the whole of our trip to NOLA.  I loved it! 

Counter-side seating, so you get very chummy with your neighbours, our server was excellent and lots of fun, very entertaining and it's open late, which we needed after our swamp tour.  The servers just shout your order at the chef - who, in the time we were there, got it right every time.  No tickets, no pens or paper - excellent! 

Food was great and prices were reasonable.

Hubby and I shared the 'Harry's Yankee' roast beef po-boy and a large cheese fries, it was yum.  Hubby had the mocha freezee and we all came away happy! 

They must have good gumbo here, a couple came in, he ordered a Reuben, she asked for Gumbo, they'd none left so she got up and left!

Definitely somewhere to add to your list - fab!!!"
40,Y7LEN_iS_DcEWmF61rt6Gw,"Friendly staff, great food and fair prices make this a wonderful place to eat.  The breakfast fare is outstanding and the burgers are made fresh to order.  Very clean!   Check it out!"
41,jc3WFP2rcj67ij9LJUKAgw,"This place was recommended by a former NOLA resident. Definitely didn't disappoint. Basically a 50's inspired diner. The menu is pretty bare bones. A variety of breakfast and lunch options. It still has that old school diner feel to it. I had a Manhattan Omelette which had Swiss and American cheese along with Corned Beef and onions. It was Delicious. One of the fluffiest omelettes i've had in recent memory. My wife had ham and eggs which also looked excellent. Huge portions for an extremely fair price. They are a little heavy handed on the butter, but this is a diner isn't it. This place would be a great hangover joint after a night on the town. Apparently the restaurant closed due to Katrina with no plans of reopening. Their patrons covered the entire front door with notes to reopen and they did. There are pictures of the door in the restaurant. Nothing is keeping this gem down. Would definitely return. One small complaint is that there is not enough seating. They could almost accommodate twice the people with a larger location. There were people waiting for a seat the entire time we dined. And that was on a Monday afternoon. I can only imagine what a Sunday morning is like at this place!"
42,Sn1YRL_kFHmJLdgGwuNqdw,"I can't say enough about this place. I walked in one day, with a need for waffles AND a patty melt...and they made it happen. I got, what I now lovingly refer to as a ""waffle-melt,"" with a fried egg and a coke. Heaven IS REAL."
43,tTaLpr-l3PFfc3wxqIOK_Q,"We went for a late breakfast, on our last day in town, and absolutely loved it!!!  Great value for the money. My wife and I both had the pecan pancakes - they were awesome!!!  I was full off the cakes & bacon alone; and then I had to move on to the huge plate of hash browns that sat in front of me. (made to order with peppers & onions, just the way I like 'em). I loved the atmosphere here.  Reminded me of a barber shop environment!  Very friendly staff.  We found metered street parking in front of Camellia's and on the side street adjacent."
44,bQJ_ffhy-e5vD77O5Hf_vg,"This is exactly what a muffuletta is supposed to be. Cooked to perfection in front of you and placed on fresh French Bread. Absolutely the best I've had. Then the pecan pie was served hot off the grill, yes off the grill. Unbelievable how good it tastes warmed upside down on the grill with the pecans seared hot to perfection."
45,pPwyaM4a67-aQj9GcpaMlg,"Right on the St. Charles Streetcar Line, this place is a GEM!

The building is fronted by grand whitewashed columns, and doesn't look the part of a classic diner, but once inside the impressive stainless open diner-style kitchen surrounded by wide a marble bar in incredibly inviting.

The food was probably the best I've ever had at a classic American styled diner. Burger was cooked to juicy perfection, chili cheese fries were greasy good, and the Vanilla milkshake was phenom!! Wife ordered a grilled cheese and raved at the result as well.

The charismatic restaurant staff dressed in classic black bow tie diner attire were fun, if not entertaining.

I will without a doubt, come back here the next time I'm in town. I would easily say this should be highly recommended to anyone not afraid of raising their cholesterol a couple points!

(TIP: If you're staying downtown, hop on the St.Charles line for $1.25 and take it right to the front door and back)"
46,8gc020V6lV65jAFrQwcSkg,"Saying this place is a New Orleans institution is an understatement. My mom and dad used to come here when my dad was attending Tulane back in the late 1940s and early 1950s after World War 2. I used to live on St. Charles past Napoleon and I took the street car here 6 days a week for supper. That was back in the 90s. Great food, great staff and fantastic, old school New Orleans atmosphere. If you want to eat like a local come to the Grill."
47,TRnFEM5w-m-yWTggX7AJNQ,"Loved our stop in here for Memorial Day breakfast. Tasty food, friendly folks, great service in a sweet neighborhood. Try the omelets!"
48,NqrP6KFPRdKaAtDhrienLg,"Classic greasy spoon, New Orleans-style.  Small, pink, crowded, noisy, and utterly delicious.  The omelets are really fluffy--the eggs go in a milkshake blender before they hit the grill--and any breakfast there will set you up for the day, easy.  Husband, who is a grits afficianado, says their grits are some of the best ever.  Worth waiting in line, plus when you pay your bill at the end, you get a lollipop!  Word!!"
49,IoXIrvqJ59QjlRfHtsLL9w,"This place has the best classic diner feel! The staff was awesome and they treat you as if your family. It felt like eating dinner and out of town family's house. Amazing omelettes, def a must. I also recommend the Doc Brinkers Special. This double cheeseburger with slaw and chili is to die for. It will satiate the biggest of appetites. Treat yourself to a shake as well."
50,7c41AHNEAT3UpHf4zceKZQ,"Fantastic food, service was great and the atmosphere is wonderful with an old school vibe. 
I went back a few days later with a friend because it was so good! 
Try the Mexican omelette, the chef special omelette and the pecan pie."
51,XjilMpCNtewYeuJLDMrzBQ,"Great meal at reasonable prices. The burgers are great and the hash browns are even better.  Everything is cooked to order in front of you. There is an entertaining banter between wait staff and the ""chefs"".  I always enjoy stopping here for a late night meal wether it be breakfast for dinner or a burger.  I did notice that the hours have changed so not sure if there is a new owner or not.  Still have a line out the door at random hours.  May not be your typical New Orleans food but definitely a local favorite."
52,hs0tBVuKiOEcm622WYK_0A,"Very nice place that is always crowded. Food is ok but it's the service that makes it a place to explore. 

Don't come here to loose weight but rather to ""collect"" all the calories you will want to get rid off the following two weeks ;-). 

We had the scramble eggs with bacon and hash brown and a chicken-club sandwich. Tasty."
53,auiJMJFPL9ta32u9pO8wHw,"One of my favorite spots in New Orleans. The burger and the Red Beans are both delicious, and the pecan pie is insane. The servers/chefs are really what make it though. They are so fun to interact with and to watch interact with each other. The line can sometimes be long but it's very worth the wait."
54,EODALgk8nMPdpsQPE9bsPQ,Great food. Great service. Worth the wait!!  NOLA classic. Grab you some breakfast at the bar or stop by for a cold drink.
55,G5YO5dajporLG8nYWw2gDA,"2/3/12
We ate there on friday morning almost as they open for the day.  We didnt know there were no tables , but had a highchair for our daughter which was perfect. The over the top friendly service and attention to customers from every worker is hard to find anywhere , But here . The service was great , our daughter loved it .  They gave us a couples fries for her and some chocalate milk  (first time !) as we sat down . My wife had a omelet and potatoes i had a pecan waffle and some eggs . I will say the omelet was one of the best ive tried . The pecan waffle was great as well and my daughter loved her grits and eggs . We came in from STL for a couple days and will say best part of our trip was at camellia grill . If you want great diner style food this is what you want , and the guys burger looked good as well . Thanks for making our trip even better ."
56,z6RWPrj4of5XoQKzeQKbDw,"This Uptown/Carrollton tradition is still hopping after over 60 years in business. Camilla Grill is located right on the St. Charles Streetcar Line and is a easy ride for even tourists staying in the French Quarter. 

The ambiance is very diner like with the only seats being at the counter. The staff behind the counter make for great dinner entertainment. The service here is quick and very friendly. The food is a bit heavy but very good. I had the Camilla Special sandwich which may look a bit plain but full of wonderful flavor. My girlfriend had the Judge's Chicken which was a well seasoned grilled chicken breast with fresh coleslaw. The rest of our party had a burger and the catfish. The catfish was crispy, not oily, and very fresh. Make sure you have it with the hot sauce,  Crystal hot sauce yum! 

We left very full and satisfied, a great experience for our first night in New Orleans. The only minor complaint we had was the cashier and host were a bit preoccupied with their phones and personal conversation to check us out quickly."
57,9Vp7XVBA49TQpuE5jna_oQ,"A diner that doesn't open until 8am? Not good. Not good at all. That said, it's a great place. Exactly what you expect from diner food. They do it right. Wish they opened at 5 or 6."
58,4PKQCo6MbPFqgqGpZ34i5Q,"I actually love the place - 
But just don't go in the early morning hours just before closing.....you may never get your food.....and if you do it is under cooked nasty food....

Any other time I have gone, the food is outstanding, the staff is very friendly.  Waffles, omelets, hamburgers, chocolate freezie, pecan pie a la mod.....ALL MUST HAVE foods!!!!
Lagniappe, if you're lucky to catch the staff putting on a show for your entertainment.
Everytime I go and sit in the atmosphere of Camelia Grill while I'm waiting for my food - I just can't resist reminiscing about New Orleans back when .....Ah, remember this or that....."
59,gwCpoe1uCQgEHUHJ6AFpjQ,The food is American diner food with high quality. What makes it superb is Leon the waiter. He puts a great spin on the experience.
60,y5Vekvirl2INipKujUHhzg,"OK, first off let me say I love this place and have been coming here on and off for many many years. I bring out of towners here all the time. Today, my wife and I went for lunch, our waitstaff was great as always, the food was great as always, We ordered 1 hamburger, 1 hamburger poboy, 2 fries, 2 coffees, 1 ice tea and a slice of pie with a scoop of ice cream. Couldn't have been a better lunch until l I went to the cashier to check out. The total was $56.22!!! WTF? I stared at the bored looking guy behind the register, ""I'm sorry, what?"" $56.22 he said again handing me a receipt. I said ""That's impossible, show me"". He proceeded to show me our order slips the waiter filled out which had no prices on them, he then showed me our receipt, which had no prices on it and said ""Its what the computer says"" and just stared at me blankly and refused to go any further with the conversation. 

Now being an experienced New Orleans resident, I immediately think since he saw an Austin Public Library t-shirt I was wearing, he scammed me. Whether that's is true or he was just stupid and refused to go over it with me, I dont know but I got ripped off for what was more or less a $30 lunch and the cashier couldn't have cared less. That's not the Camellia Grill Ive known for 15 years."
61,Cphr5q2gY52TIqf3Fr1TvA,Fell upon this place after our trolley ride to the garden district.  Nothing fancy here but good sandwiches and grill type of food.  Had the special and could only finish 1/2. Hubby got the Ruben and said it was very good.  Great counter staff.
62,DNUSTzFEe_QfD8DQKuAoQQ,Love some Camellia Grill!  Worth the wait for some New Orleans charm and delicious food.  Great place to jump on the street car after and enjoy the city.
63,XDVbolRLpNhcQ9xwx2d7sw,"This place was so fun to eat at!  I love that it was bar style dining, and you sit facing all the action so you can watch them make your food.  Our server was so great and on point.  The whole staff was very friendly and upbeat. I got the mexican omelet with hashbrowns and it was DELICIOUS! They are very generous with their portion sizes. I also tried their chocolate cherry freeze and that was very good as well.  And holy hell, get a slice of their pecan pie. Will definitely come back.  It gets crowded quickly so i would recommend coming at an ""off"" hour rather than during the brunch and lunch rush.  But there are booths along the walls that you can sit at while you wait for an open seat amongst the bar stools!"
64,a3YO42M2JeUtSookzE7Vxw,Food was decent but nothing memorable. We had visited here a few years ago and enjoyed the entertainment from the waiters. Wait staff now don't seem to have the humor and outgoing personalities I remember from back then.
65,kVjIgpVnOFdCEv39hBYgxA,"Seating is extremely limited and the food is exactly that of a diner. I would say it's not anything super special (food wise), but obviously the cool part is that AHS was filmed here! We had to wait a while for our seats and had to be split in the group. They tried their best though to accommodate all of us. The food comes out fast and the service is good! 

I got a bacon cheeseburger with everything on it and it definitely hit my hangover spot that I needed. We also ordered the chili cheese fries and they serve a good amount of it - we couldn't finish it even sharing between 7 girls! If you ask them to do an announcement for you, they will! Super cool environment and we just had beat the rush when we were walking out there was a line out the door. Can't imagine how long people had to wait for that! Definitely great hangover food!"
66,TQBUop4a1x_-ED29dF69SQ,"I find Camelia Grill to be absurdly overrated. In a city of amazing food, this does not rank with the best. It's typical diner food and nothing more."
67,36cyXPKR9sEOCZOflq-eXQ,"My wife and I heard good things about the pecan pie, so we decided to stop in for a bite.  The place has an old diner vibe, which is pretty cool.  The service was prompt and friendly.

The pecan pie was ok, but nothing to write home about really.  They put it on the grill to warm it up.  It looked like the cook scraped the spatula he was using for the burgers on the grill, and then used it to take the pie.  I guess it's too complicated to have spatulas for each kind of food, but it kinda killed the moment for me a bit."
68,A9MtWue4pIKHG00gEPchjg,"Great environment, good food, great price, incredible service."
69,3lAut6lxBQS5K8NLatahFw,"If you're looking for a great late night run for $6 cheeseburgers that'll fill you up, this is where it's at. 

This place is great for drunk moments and late night moments. They close late and they serve all that good greasy type food. I was turnt by hand grenades at Bourbon st, and made my way here by street car. Me and my friend killed about four burgers! We should've had pie but we were stuffed. 

They take their time grilling the burgers as well so it's the real deal!"
70,4odisceByhwo0faSekYE6Q,"Just so it is no surprise, this is a small place. On a weekend, expect upwards to a 30 minute wait. You will not be seated at a table rather at a bar that wraps around the kitchen. (I'm sure this was done to maximize space and serving time) 

Food here is awesome, I have yet to have anything was not to my liking. Camellia Grill is known for their omelets, so give each one a try. The burgers are more than decent. And from the stranger sitting from my left, the desserts are more than enticing. 

As a side note, I would suggest to management that mop heads, trash, and other similar smell factors are moved far from eating areas as it can sometimes kill the fun of Camellia Grill."
71,dUwOh9xApZX2K_oEqYFEdg,Yay!  This place makes me so happy. Great old school diner with wonderful burgers and chili cheese fries. The coffee freeze put us over the top. Looking at the dishes around us I will definitely be back for an omelette and hash browns.
72,QBrwYJuy-C26olrBh9baFQ,Best meal I ate in NOLA. The Manhattan omelet was AMAZEBALLS and the hot roster beef po'boy was incredible. We got the hot pecan pie a la mode and it was heaven. We wanted to keep ordering and eating because it was so good except we felt sick from the huge portions. In a good way! Service from Gilbert was great and food came up super fast. HIGHLY RECOMMENDED.
73,kWcNZfMSRSCAcElQ2LrspQ,"Great old fashioned place, wonderful food, fast service, and a kind waiter. What else could you need? The line might seem intimidating at first so try not to go during peak hours, but the wait is worth it if you have the time. Must try in Nola."
74,HisAUXzhgM0sv0MOC_hV5Q,"I've been going here since I was a child, through my high school and college years. I'm 36 now and I still love it. You can't find a chocolate freeze like theirs anywhere else! I have to admit, I haven't had a ton of their menu items, because there's something so nostalgic about getting ""my usual"": cheese omelette with fries and a chocolate freeze. Of course, I've had the burger, the red beans, pancakes, and a few other staples, but that omelette is legit. This is also the best place for late night food in the city. There is usually a wait even for late night, but it's worth the wait. The staff is so friendly and they remember you every time you come in. Most of these guys have worked here for ever! I love how they yell out your order to the cook and he just remembers everything. They get it right every time!"
